Day,animalsCount,plantsCount,freeFieldsCount,averageEnergy,averageLifespan,averageChildren,mostPopularGenotype
1,5,57,164,104.00,0.00,0.00,2104230417
2,5,95,127,138.00,0.00,0.00,4606102050
3,5,133,89,172.00,0.00,0.00,4606102050
4,5,170,54,226.00,0.00,0.00,2104230417
5,5,206,19,300.00,0.00,0.00,2104230417
6,5,225,0,374.00,0.00,0.00,2104230417
7,5,225,0,468.00,0.00,0.00,2104230417
8,5,225,0,562.00,0.00,0.00,2104230417
9,5,225,0,656.00,0.00,0.00,2104230417
10,5,225,0,750.00,0.00,0.00,2104230417
